,processo,codigo,descricao,materia_prima,quantidade
176,Eixo,416009,BUCHA BRACO - EIXO BAL T  FA4/6,"134170 - TUBO SCHEDULLE 80 - 1.1/2""",14.0
177,Eixo,417233,ARRUELA REFORCO ESTAB - EIXO BAL T FA4/6,"120157 - CHAPA GQ   3/8 (9,53)     1010",14.0
178,Eixo,417294,PONTA DE EIXO - EIXO BAL TANDEM   FA4,110980 - ACO LAMINADO RED 1.3/4    1045,20.0
179,Eixo,417749,FECH LAT BR-EIXO TANDEM  FA4/6,"120303 - CHAPA FQ 3/16 (1,20 x 6,00m) 1010",28.0
180,Eixo,427986,CORPO VARAO FRENAGEM   5000  CBHM,"112434 - ACO TREF. RED. SAE-1020 - 3/4""",8.0
181,Eixo,428360,ELO CORRENTE COMPLEM-CARR C2,226105 - CORRENTE ELO 3/16 F. POLIDO,4.0
182,Eixo,434656,PONTA EIXO-CUBO FORJ  (00)F6,110980 - ACO LAMINADO RED 1.3/4    1045,8.0
183,Eixo,436410,COMPLEM BARRA ENGATE - CH RP13,126457 - AÇO CHATO LAM 3/8 X 2 SAE-1020,7.0
184,Eixo,436884,COMPLEM EXCENT - EIXO TRAS F4C,"120200 - CHAPA GQ 1/4 (1,20 x 4,05m) 1010",8.0
185,Eixo,439990,COMPL PORT ICAM EIXO SS (M98) F,"120650 - CHAPA GQ   5/16(7,94)     1010",4.0
186,Eixo,444698,PINO COMPLEM EIXO-E TRAS  F4CC,"112434 - ACO TREF. RED. SAE-1020 - 3/4""",8.0
187,Eixo,447043,PORTA ICAMENTO - EIXO SS (M98) F,"120157 - CHAPA GQ   3/8 (9,53)     1010",8.0
188,Eixo,453341,SUP VARAO FRENAG - FREIO U6P,"120650 - CHAPA GQ   5/16(7,94)     1010",8.0
189,Eixo,455600,TAMPA CUBO - RODAGEM   F6/FA/CBHM,"120121 - CHAPA FF #18   (1,21)     1010",78.0
190,Eixo,459574,TAMBOR FREIO - EIXO       F6F5,"120250 - CHAPA #11(3,04) A36/CIVIL300",8.0
191,Eixo,466050,COMANDO VAROES - FREIO    CAR,"120200 - CHAPA GQ 1/4 (1,20 x 4,05m) 1010",8.0
