Recurso,Peca,Qtde,Etapa,LEAD TIME,Código,Célula,flag peça,Etapa2,Etapa3,Etapa4,Etapa5,Etapa6
031244,Eixo Tandem 6T,2,Montagem,30,024776,EIXO COMPLETO,1,Pintura,,,CINZA,
031244,Eixo Tandem 6T,1,Montagem,30,024776,EIXO COMPLETO,1,Pintura,,,CINZA,
031244,Tandem 6T,1,Montagem,30,031244,EIXO SIMPLES,1,,,,,
031244,Tandem 6T,1,Montagem,30,031244,EIXO SIMPLES,1,,,,,
031249,Fueiro Cent LD CBHM 10000,1,Montagem,30,031249,FUEIRO,1,Pintura,,,,
031249,CORRENTE 38 ELOS,1,Montagem,30,400634,ESTAMPARIA,1,,,,,
031250,Fueiro Central LD CBHM 6000,1,Montagem,30,031250,FUEIRO,1,Pintura,,,,
031250,CORRENTE 32 ELOS,1,Montagem,30,428395,ESTAMPARIA,1,,,,,
031251,Fueiro Central LE CBHM 6000,1,Montagem,30,031251,FUEIRO,1,Pintura,,,,
031251,TENSOR DA CORRENTE,1,Montagem,30,475000,ESTAMPARIA,1,,,,,
031251,CORRENTE 1 ELO,1,Montagem,30,428360,ESTAMPARIA,1,,,,,
031251,CORRENTE 28 ELOS,1,Montagem,30,428383,ESTAMPARIA,1,,,,,
031252,Fueiro Diant LE - CBHM 8000/10000,1,Montagem,30,031252,FUEIRO,1,Pintura,,,,
031253,Fueiro Diant LD - CBHM 8000/10000,1,Montagem,30,031253,FUEIRO,1,Pintura,,,,
031254,"Fueiro Diant LE 0,90 - CBHM",1,Montagem,30,031254,FUEIRO,1,Pintura,,,,
031255,"Fueiro Diant LD 0,90 - CBHM",1,Montagem,30,031255,FUEIRO,1,Pintura,,,,
031256,Eixo (Tubo) Balancim LD TANDEM c/Freio CBHM/CBH 4t,1,Montagem,30,031256,EIXO SIMPLES,1,,,,,
031257,"Fueiro Tras LE 0,90 - CBHM 4500",1,Montagem,30,031257,FUEIRO,1,Pintura,,,,
031257,CORRENTE 13 ELOS,1,Montagem,30,031257,ESTAMPARIA,1,,,,,
031258,"Fueiro Tras LD 0,90 - CBHM 4500",1,Montagem,30,031258,FUEIRO,1,Pintura,,,,
031258,CORRENTE 13 ELOS,1,Montagem,30,464831,ESTAMPARIA,1,,,,,
